Age,Gender,Education Level,Job Title,Years of Experience,Salary,Job Role
46.0,0,3,Back end Developer,18.0,155795.0,Engineering Roles
24.0,1,3,Back end Developer,1.0,55935.0,Engineering Roles
35.0,1,3,Back end Developer,8.0,140000.0,Engineering Roles
49.0,0,3,Back end Developer,19.0,120177.0,Engineering Roles
33.0,1,5,Back end Developer,6.0,130000.0,Engineering Roles
31.0,1,3,Back end Developer,8.0,100052.0,Engineering Roles
27.0,1,3,Back end Developer,3.0,80000.0,Engineering Roles
32.0,1,5,Back end Developer,6.0,130000.0,Engineering Roles
27.0,0,3,Back end Developer,3.0,80000.0,Engineering Roles
27.0,1,3,Back end Developer,3.0,80000.0,Engineering Roles
26.0,1,3,Back end Developer,2.0,63789.0,Engineering Roles
35.0,1,3,Back end Developer,8.0,140000.0,Engineering Roles
34.0,1,5,Back end Developer,8.0,140000.0,Engineering Roles
27.0,1,3,Back end Developer,3.0,80000.0,Engineering Roles
28.0,1,3,Back end Developer,4.0,71699.0,Engineering Roles
34.0,1,5,Back end Developer,8.0,140000.0,Engineering Roles
36.0,1,5,Back end Developer,9.0,150000.0,Engineering Roles
31.0,2,1,Back end Developer,8.0,104127.0,Engineering Roles
27.0,0,5,Back end Developer,2.0,70000.0,Engineering Roles
27.0,1,3,Back end Developer,3.0,85000.0,Engineering Roles
34.0,1,3,Back end Developer,10.0,126593.0,Engineering Roles
24.0,1,3,Back end Developer,1.0,55000.0,Engineering Roles
33.0,1,5,Back end Developer,6.0,130000.0,Engineering Roles
27.0,1,3,Back end Developer,3.0,85000.0,Engineering Roles
34.0,1,5,Back end Developer,8.0,140000.0,Engineering Roles
27.0,1,1,Back end Developer,4.0,80247.0,Engineering Roles
27.0,1,3,Back end Developer,2.0,75000.0,Engineering Roles
30.0,1,3,Back end Developer,5.0,100000.0,Engineering Roles
38.0,1,3,Back end Developer,14.0,136449.0,Engineering Roles
38.0,0,5,Back end Developer,10.0,155000.0,Engineering Roles
30.0,1,3,Back end Developer,5.0,100000.0,Engineering Roles
27.0,0,5,Back end Developer,2.0,70000.0,Engineering Roles
30.0,1,3,Back end Developer,5.0,100000.0,Engineering Roles
36.0,1,5,Back end Developer,9.0,150000.0,Engineering Roles
24.0,1,3,Back end Developer,2.0,64182.0,Engineering Roles
25.0,1,3,Back end Developer,2.0,90249.0,Engineering Roles
27.0,1,3,Back end Developer,3.0,80000.0,Engineering Roles
34.0,1,5,Back end Developer,8.0,140000.0,Engineering Roles
35.0,0,3,Back end Developer,10.0,114776.0,Engineering Roles
49.0,1,3,Back end Developer,24.0,178284.0,Engineering Roles
35.0,1,3,Back end Developer,8.0,140000.0,Engineering Roles
27.0,1,3,Back end Developer,3.0,80000.0,Engineering Roles
32.0,1,5,Back end Developer,6.0,130000.0,Engineering Roles
46.0,0,3,Back end Developer,18.0,155795.0,Engineering Roles
34.0,1,5,Back end Developer,8.0,140000.0,Engineering Roles
36.0,1,5,Back end Developer,9.0,150000.0,Engineering Roles
29.0,0,5,Back end Developer,3.0,90000.0,Engineering Roles
27.0,1,3,Back end Developer,3.0,80000.0,Engineering Roles
27.0,0,5,Content Marketing Manager,4.0,80000.0,Marketing & Sales Roles
27.0,0,5,Content Marketing Manager,4.0,80000.0,Marketing & Sales Roles
41.0,1,3,Content Marketing Manager,12.0,120000.0,Marketing & Sales Roles
32.0,1,5,Content Marketing Manager,5.0,70000.0,Marketing & Sales Roles
41.0,1,3,Content Marketing Manager,12.0,120000.0,Marketing & Sales Roles
43.0,1,6,Content Marketing Manager,16.0,160000.0,Marketing & Sales Roles
27.0,0,5,Content Marketing Manager,4.0,80000.0,Marketing & Sales Roles
44.0,1,3,Content Marketing Manager,15.0,150000.0,Marketing & Sales Roles
42.0,1,3,Content Marketing Manager,13.0,130000.0,Marketing & Sales Roles
50.0,0,5,Content Marketing Manager,18.0,180000.0,Marketing & Sales Roles
43.0,1,3,Content Marketing Manager,14.0,140000.0,Marketing & Sales Roles
50.0,0,5,Content Marketing Manager,19.0,190000.0,Marketing & Sales Roles
50.0,0,5,Content Marketing Manager,19.0,190000.0,Marketing & Sales Roles
42.0,1,6,Content Marketing Manager,15.0,150000.0,Marketing & Sales Roles
35.0,0,5,Data Analyst,9.0,120000.0,Data & Analytics Roles
25.0,0,2,Data Analyst,2.0,110000.0,Data & Analytics Roles
27.0,0,2,Data Analyst,5.0,120000.0,Data & Analytics Roles
25.0,0,4,Data Analyst,1.0,100000.0,Data & Analytics Roles
24.0,1,2,Data Analyst,1.0,90000.0,Data & Analytics Roles
26.0,1,2,Data Analyst,3.0,120000.0,Data & Analytics Roles
37.0,1,3,Data Analyst,11.0,160000.0,Data & Analytics Roles
37.0,1,3,Data Analyst,11.0,160000.0,Data & Analytics Roles
25.0,0,4,Data Analyst,1.0,100000.0,Data & Analytics Roles
26.0,1,2,Data Analyst,3.0,110000.0,Data & Analytics Roles
24.0,1,2,Data Analyst,1.0,90000.0,Data & Analytics Roles
37.0,1,3,Data Analyst,11.0,160000.0,Data & Analytics Roles
24.0,1,2,Data Analyst,1.0,95000.0,Data & Analytics Roles
35.0,0,5,Data Analyst,9.0,120000.0,Data & Analytics Roles
30.0,0,2,Data Analyst,5.0,145000.0,Data & Analytics Roles
28.0,0,4,Data Analyst,3.0,65000.0,Data & Analytics Roles
25.0,0,2,Data Analyst,2.0,100000.0,Data & Analytics Roles
25.0,0,2,Data Analyst,2.0,100000.0,Data & Analytics Roles
24.0,1,2,Data Analyst,1.0,90000.0,Data & Analytics Roles
34.0,1,5,Data Analyst,8.0,100000.0,Data & Analytics Roles
24.0,1,2,Data Analyst,1.0,90000.0,Data & Analytics Roles
36.0,1,3,Data Analyst,9.0,162000.0,Data & Analytics Roles
24.0,1,2,Data Analyst,2.0,95000.0,Data & Analytics Roles
26.0,0,2,Data Analyst,3.0,130000.0,Data & Analytics Roles
29.0,0,2,Data Analyst,7.0,130000.0,Data & Analytics Roles
34.0,1,5,Data Analyst,8.0,100000.0,Data & Analytics Roles
37.0,1,3,Data Analyst,11.0,160000.0,Data & Analytics Roles
25.0,0,2,Data Analyst,2.0,90000.0,Data & Analytics Roles
33.0,0,5,Data Analyst,8.0,100000.0,Data & Analytics Roles
34.0,1,5,Data Analyst,8.0,100000.0,Data & Analytics Roles
31.0,1,2,Data Analyst,9.0,190000.0,Data & Analytics Roles
25.0,0,4,Data Analyst,1.0,100000.0,Data & Analytics Roles
37.0,1,3,Data Analyst,11.0,160000.0,Data & Analytics Roles
26.0,0,2,Data Analyst,3.0,100000.0,Data & Analytics Roles
24.0,1,2,Data Analyst,1.0,90000.0,Data & Analytics Roles
26.0,0,2,Data Analyst,3.0,130000.0,Data & Analytics Roles
25.0,0,2,Data Analyst,2.0,110000.0,Data & Analytics Roles
35.0,0,5,Data Analyst,9.0,120000.0,Data & Analytics Roles
37.0,1,3,Data Analyst,11.0,160000.0,Data & Analytics Roles
35.0,0,5,Data Analyst,9.0,120000.0,Data & Analytics Roles
25.0,0,2,Data Analyst,2.0,110000.0,Data & Analytics Roles
24.0,1,2,Data Analyst,2.0,95000.0,Data & Analytics Roles
34.0,1,5,Data Analyst,8.0,100000.0,Data & Analytics Roles
34.0,1,5,Data Analyst,8.0,100000.0,Data & Analytics Roles
25.0,1,2,Data Analyst,2.0,125000.0,Data & Analytics Roles
26.0,1,2,Data Analyst,3.0,135000.0,Data & Analytics Roles
34.0,1,5,Data Analyst,8.0,100000.0,Data & Analytics Roles
37.0,1,3,Data Analyst,11.0,160000.0,Data & Analytics Roles
25.0,1,2,Data Analyst,2.0,110000.0,Data & Analytics Roles
34.0,1,5,Data Analyst,8.0,100000.0,Data & Analytics Roles
24.0,1,2,Data Analyst,1.0,90000.0,Data & Analytics Roles
34.0,1,5,Data Analyst,8.0,100000.0,Data & Analytics Roles
25.0,0,4,Data Analyst,1.0,100000.0,Data & Analytics Roles
31.0,1,2,Data Analyst,9.0,195000.0,Data & Analytics Roles
26.0,1,2,Data Analyst,3.0,110000.0,Data & Analytics Roles
25.0,0,2,Data Analyst,2.0,100000.0,Data & Analytics Roles
25.0,1,2,Data Analyst,2.0,110000.0,Data & Analytics Roles
34.0,1,5,Data Analyst,8.0,100000.0,Data & Analytics Roles
35.0,0,5,Data Analyst,9.0,120000.0,Data & Analytics Roles
26.0,1,2,Data Analyst,3.0,130000.0,Data & Analytics Roles
26.0,1,2,Data Analyst,3.0,130000.0,Data & Analytics Roles
26.0,1,2,Data Analyst,3.0,130000.0,Data & Analytics Roles
34.0,1,5,Data Analyst,8.0,100000.0,Data & Analytics Roles
30.0,1,2,Data Analyst,5.0,140000.0,Data & Analytics Roles
24.0,1,2,Data Analyst,1.0,90000.0,Data & Analytics Roles
24.0,1,2,Data Analyst,1.0,90000.0,Data & Analytics Roles
24.0,1,2,Data Analyst,1.0,90000.0,Data & Analytics Roles
25.0,0,2,Data Analyst,2.0,110000.0,Data & Analytics Roles
29.0,0,2,Data Analyst,6.0,120000.0,Data & Analytics Roles
26.0,1,2,Data Analyst,3.0,120000.0,Data & Analytics Roles
31.0,1,2,Data Analyst,9.0,195000.0,Data & Analytics Roles
24.0,1,2,Data Analyst,1.0,95000.0,Data & Analytics Roles
37.0,1,3,Data Analyst,11.0,160000.0,Data & Analytics Roles
29.0,0,4,Data Scientist,6.0,180000.0,Data & Analytics Roles
31.0,0,6,Data Scientist,8.0,140000.0,Data & Analytics Roles
46.0,1,6,Data Scientist,18.0,180000.0,Data & Analytics Roles
31.0,0,6,Data Scientist,8.0,140000.0,Data & Analytics Roles
32.0,1,2,Data Scientist,8.0,180000.0,Data & Analytics Roles
31.0,0,6,Data Scientist,8.0,140000.0,Data & Analytics Roles
43.0,1,6,Data Scientist,16.0,160000.0,Data & Analytics Roles
44.0,1,6,Data Scientist,16.0,160000.0,Data & Analytics Roles
34.0,1,5,Data Scientist,9.0,140000.0,Data & Analytics Roles
34.0,1,5,Data Scientist,9.0,140000.0,Data & Analytics Roles
31.0,1,4,Data Scientist,9.0,195000.0,Data & Analytics Roles
31.0,1,4,Data Scientist,9.0,185000.0,Data & Analytics Roles
